0,0,1
0,1,10
0,2,5
0,3,10
0,4,10
0,5,10
0,6,10
0,7,9
0,8,10
0,9,10
0,10,10
0,11,10
0,12,10
0,13,7
0,14,9
0,15,8
0,16,9
0,17,10
1,18,10
1,19,9
1,20,10
1,21,8
1,22,9
1,23,8
1,24,8
1,25,9
1,26,9
1,27,10
1,28,10
1,29,10
1,30,10
1,5,10
1,31,9
1,32,10
1,33,8
1,34,10
1,35,10
1,36,10
1,37,9
1,38,10
1,39,10
1,40,10
1,41,8
1,42,10
1,43,9
1,44,9
1,45,10
1,46,9
1,47,8
2,48,3
2,49,8
2,50,6
2,51,8
2,52,8
2,53,7
2,54,3
2,55,3
2,1,9
2,56,6
2,57,6
2,39,8
2,58,8
2,4,9
2,59,6
2,60,9
2,61,3
2,26,10
2,62,8
2,63,7
2,64,8
2,65,8
2,66,5
2,67,6
2,68,6
2,69,6
2,70,8
2,71,8
2,72,6
2,73,8
2,74,6
2,75,7
2,30,8
2,76,5
2,77,5
2,78,7
2,79,9
2,80,7
2,81,7
2,82,8
2,83,4
2,84,9
2,85,7
2,86,5
2,87,8
2,3,8
2,88,9
2,89,8
2,90,9
2,91,7
2,92,7
2,93,8
2,94,7
2,12,8
2,95,6
2,96,9
2,97,8
2,98,8
2,99,9
2,100,7
2,0,9
2,101,6
2,102,4
2,103,4
2,104,5
2,25,7
2,105,3
2,106,8
2,5,9
2,107,2
2,108,8
2,109,8
2,110,8
2,111,7
2,112,5
2,113,8
2,114,5
2,115,7
2,116,4
3,117,6
3,118,7
3,23,9
3,119,6
3,120,7
3,121,10
3,122,7
3,123,10
3,124,6
3,125,10
3,126,8
3,127,7
3,128,10
3,129,7
3,130,10
3,131,8
3,132,6
3,133,10
3,134,8
3,135,9
3,136,6
3,137,6
3,138,9
3,139,6
3,140,10
3,141,8
3,142,8
3,143,7
3,144,8
3,145,6
3,146,7
3,147,8
3,148,8
3,149,9
3,101,5
3,150,10
3,151,5
3,152,9
3,153,7
3,36,7
3,154,7
3,155,8
3,156,9
3,157,9
3,158,7
3,159,8
3,160,8
3,161,9
3,162,9
3,163,9
3,164,7
3,165,7
3,166,9
3,167,7
3,168,7
3,169,10
3,170,7
3,171,8
3,172,9
3,173,8
3,174,4
3,175,6
3,176,7
3,177,10
3,178,9
3,179,8
3,180,6
3,181,10
3,182,9
3,183,8
3,184,8
3,185,9
3,186,5
3,187,8
3,188,10
3,38,9
3,189,8
3,190,8
3,99,9
3,191,8
3,192,6
3,193,8
3,18,7
3,194,7
3,104,7
3,195,9
3,196,6
3,197,8
3,198,9
3,199,8
3,200,6
3,53,7
3,85,8
3,201,8
3,44,9
3,202,6
3,203,10
3,78,10
3,204,8
3,205,8
3,206,7
3,207,7
3,208,7
3,209,8
3,210,7
3,211,8
3,37,7
3,212,10
3,213,6
4,214,8
4,215,8
4,216,3
4,217,2
4,218,1
4,219,3
4,220,4
4,221,8
4,222,6
4,223,4
4,224,5
4,189,5
4,225,5
4,153,3
4,226,3
4,227,7
4,228,5
4,95,5
4,229,3
4,230,5
4,231,3
4,232,7
4,233,5
4,146,3
4,234,8
4,235,2
4,236,8
4,109,6
4,237,5
4,238,7
4,239,5
4,240,7
4,241,4
4,242,5
4,243,2
4,15,8
4,244,7
4,245,4
4,89,3
4,103,4
4,246,8
4,247,9
4,45,4
4,74,7
4,248,8
4,249,5
4,250,7
4,251,8
4,252,4
4,253,1
4,254,6
4,21,9
4,255,7
4,256,4
4,257,3
4,258,3
4,259,8
4,260,1
4,261,7
4,262,9
4,263,6
4,264,7
4,265,4
4,266,3
4,267,4
4,116,6
4,268,7
4,269,8
4,270,4
4,271,6
4,272,4
4,273,5
4,274,9
4,43,4
4,275,2
4,276,3
4,277,6
4,278,3
4,279,9
4,280,3
4,281,4
4,282,4
4,283,5
4,284,8
4,285,5
4,286,4
